X,Y,Location,Road,Area,City,District,Province,UID
74.4457,31.1203,Bismillah Loader Stand,,,Qasur City,,Punjab,{723C02DF-E3C5-4FFB-84F9-CB2E6C1078D5}
74.4457,31.1258,Al-madina Ideals,Khara Road,,Qasur City,,Punjab,{4E765E94-E1AA-49F8-855D-9AC03CF7C9F7}
74.4458,31.4553,Govt High School Ladhar,,,Lahore City,District Lahore,Punjab,{DC58145E-0292-406E-A89C-E4DBA7F10931}
74.446,31.1251,Jawaid Pharmacy & General Store,Khara Road,,Qasur City,,Punjab,{7907AD99-C222-4E83-BE1E-1C9127AF3E7F}
74.4461,31.1156,Mughal paint House,Circular Road,Bairoon Kot Usman Khan,Qasur City,,Punjab,{451F01E4-725D-4E6B-9A18-4A0821EFA8ED}
74.4461,31.1199,Noor Muhammad Faloodah Corner,Railway Road,,Qasur City,,Punjab,{50EC078C-72B6-469B-B026-98E0CA14C490}
74.4462,31.0522,Churpura,,,,District Kasur,Punjab,{FA9F422E-744B-4A56-BDBA-2D0748FFC012}
74.4463,31.1155,Ghosia Furniture,Circular Road,Bairoon Kot Usman Khan,Qasur City,,Punjab,{C01B066F-296C-4E2E-A7F4-7CAE20E34FC8}
74.4463,31.1246,Chawla Pharmacy,Khara Road,,Qasur City,,Punjab,{C055C6F1-7EDA-47DF-B65C-60C7E41BBBA1}
74.4465,31.1201,Masjid Taki Paway Shah,Railway Road,,Qasur City,,Punjab,{0D12E836-EC46-4AF9-BB71-367754CAAD64}
74.4467,31.1224,Faridia Street,,,Qasur City,,Punjab,{5B9C53DD-B3B3-45DD-A410-FE2AA70E316B}
74.4467,31.173,Sunehri Naqibia Jamia Masjid,Lahore-Qasur Road,,Tehsil&District Qasur,,Punjab,{CC437790-5864-459A-8E9A-E29A296CA0EC}
74.4467,32.5049,Sukhian,,,Tehsil Sialkot,District Sialkot,Punjab,{DAFBC3C8-456C-4068-859D-C80138FF1EA4}
74.4469,31.1236,Lahore Poly Technical Institute,Khara Road,,Qasur City,,Punjab,{A42FBB49-4BC3-4325-8D27-33E5971C3B13}
74.4469,31.1276,Gaveyard near Laree Adda,,,Qasur City,,Punjab,{303E402B-6C1C-4A71-B6DA-79C07D38A259}
74.4469,31.1303,Ranger Public School,,,Qasur City,,Punjab,{B3B19181-2605-4E6C-B946-8A44355F1ACB}
74.4469,31.2462,Sarhali Khurd,,,,District Kasur,Punjab,{9D957181-ECE7-4721-810B-7A215897A809}
74.4469,31.4544,Gulberg Lines Hospital,,,Lahore City,District Lahore,Punjab,{C7AA15E9-2E41-47EA-B27A-52B9209083CC}
74.447,31.1152,Circular Road Chowk,Circular Road,Bairoon Kot Usman Khan,Qasur City,,Punjab,{DE557B3F-9B07-44A4-9FED-7CF13C70C23F}
74.447,31.1316,Meu Market,Raiwind Road,,Qasur City,,Punjab,{040F79E2-EF20-49F6-9BA2-7BC1A395035C}
74.4471,31.1308,Saleem Autos,,,Qasur City,,Punjab,{A426B387-FF26-4B58-8E65-782FFB19C168}
74.4472,31.7453,Malakpura Kalan,,,Ferozewala,Sheikhupura,Punjab,{DAD30B7D-8335-4EC9-858C-51AA74EAF4DB}
74.4472,32.5401,Kala,,,Tehsil Sialkot,District Sialkot,Punjab,{4E1D4678-7EDB-423A-9E9D-59F16B414902}
74.4473,31.1202,Bank Alflah Ltd.,Railway Road,,Qasur City,,Punjab,{022E355B-D12A-4701-AFE1-75B932D0FE3E}
74.4474,31.1232,Golden Gate Public School,Khara Road,,Qasur City,,Punjab,{A87F6E77-3753-4CB3-B32F-71676B9FB688}
74.4474,31.1312,Khan Mahal Cinema,,,Qasur City,,Punjab,{D19E1333-3B81-4A1A-80A7-3E384E316C3D}
74.4475,31.1287,Liaqat Market,,,Qasur City,,Punjab,{D3FD1597-0BAD-481B-BEFA-3ECAC37A32BC}
74.4476,31.1154,Madni Hardware Store,Circular Road,Bairoon Kot Usman Khan,Qasur City,,Punjab,{AE309262-A60C-4E8D-9FE9-03C7772700AB}
74.4476,31.1228,Farid Book Depu,,,Qasur City,,Punjab,{3C0EDDE6-A6B0-4D84-B52F-73DDA67B4AC3}
74.4476,31.1316,Cinema Mor,Raiwind Road,,Qasur City,,Punjab,{45972D32-2A45-4288-8E0F-3DE832B9B260}
74.4477,31.1203,Phaloodah Corner Baba Bulley Shah,Railway Road,,Qasur City,,Punjab,{37F5CA85-BB46-4DA4-8810-406E9C7B660D}
74.4477,32.0885,Thatta Gulab Singh,,,Kamonke,Gujranwala,Punjab,{D10DAEFF-9107-4F55-B9CC-6D74080D0A68}
74.4478,31.1205,Mizar Of Hazrat Baba Bulley Shah,Railway Road,,Qasur City,,Punjab,{1CAC0908-5D63-4AE4-A318-FB71E1577ACF}
74.4479,31.1204,Baba Bulley Shah Mizar,Railway Road,,Qasur City,,Punjab,{A35AF4BB-D4FF-464E-9F27-186822BB7A40}
74.4479,31.1289,Bus Stand,,,Qasur City,,Punjab,{C9EBF27F-B1FA-442B-933C-E9F73230A625}
74.4481,31.0917,PSO Pump,Dipalpur Road,,Tehsil&District Qasur,,Punjab,{F7889651-29BB-43D2-8820-AC40AC82141B}
74.4481,31.9803,Jaboke,,,Kamonke,Gujranwala,Punjab,{A9A2C5D2-8E69-46B2-91B6-8D4599441626}
74.4481,32.071,Nut,,,Kamonke,Gujranwala,Punjab,{2393BDB3-7182-4AB0-A5E2-5F09FCE1720C}
74.4481,32.2309,Tarsikha,,,Tehsil Daskah,District Sialkot,Punjab,{ED4A429D-EB79-40D1-B059-E7E838AC0648}
74.4482,31.1269,Shell Pump Laree Adda,,,Qasur City,,Punjab,{A2DE33EC-6180-411B-B8D2-AC266C76F5DB}
74.4483,31.1206,Habib Bank Ltd,Railway Road,,Qasur City,,Punjab,{881A4C0E-7424-410D-974E-10F374A22456}
74.4484,31.1316,Nasir PSO Pump,Raiwind Road,,Qasur City,,Punjab,{A0324CF2-917D-43D2-A11A-04623F2F53C4}
74.4485,31.1262,Ghori Pan Shop Laree Adda,,,Qasur City,,Punjab,{AF7D3A31-8FA2-4C38-B108-39C4529742E1}
74.4485,31.1273,Laree Adda,,,Qasur City,,Punjab,{F7CCE73D-87FD-4407-BD3C-7F56B94A6C34}
74.4486,31.1208,Meezan Bank Ltd,Railway Road,,Qasur City,,Punjab,{40E29881-8967-4330-B6CF-FF17D25CAEA4}
74.4486,31.1316,Family Medical Centre,Raiwind Road,,Qasur City,,Punjab,{1B97DBB9-664F-4D4E-B16B-93242949EE50}
74.4486,31.4218,Kohi Noor,,,Lahore City,District Lahore,Punjab,{E1944574-0207-43F4-B66C-B27C736CFEA0}
74.4486,32.2644,Chak Miana,,,Tehsil Daskah,District Sialkot,Punjab,{8EC4B167-124F-43F2-8AE8-E74744890718}
74.4487,31.116,Shihab Matab,Circular Road,,Qasur City,,Punjab,{8845D503-D3F1-4777-87E3-CB4EF3B13880}
74.4487,31.1258,Ac Coaches,,,Qasur City,,Punjab,{58493062-18CC-4A19-A8D9-350E83425E6C}
74.4488,31.1707,Theh Bhallu,,,,District Kasur,Punjab,{75E87C4E-38CB-4BF4-9407-FB0693C6C74F}
