X,Y,Location,Road,Area,City,District,Province
74.18089986,32.1738532,Government Comprehensive High School,",",Model Town,Gujranwala,District Gujranwala,Punjab
74.18539524,32.1724715,city tour bus stop Gt road,GT Road,Model Town,Gujranwala,District Gujranwala,Punjab
74.1851002,32.17249931,Pakistan Cargo Services,",",Model Town,Gujranwala,District Gujranwala,Punjab
74.18486651,32.17259779,Citi Bank,",",",",Gujranwala,District Gujranwala,Punjab
74.17945649,32.1727709,Model Town Market,",",",",Gujranwala,District Gujranwala,Punjab
74.17867597,32.17357857,Model Town Park,",",",",Gujranwala,District Gujranwala,Punjab
74.17895157,32.17110843,Ladies Park Model Town,",",",",Gujranwala,District Gujranwala,Punjab
74.17770971,32.17057659,WASA water Tank Model  colony,",",",",Gujranwala,District Gujranwala,Punjab
74.17673137,32.17234691,Igraphix Designers & Printers,",",",",Gujranwala,District Gujranwala,Punjab
74.17656507,32.1732244,Jinnah Memorial Trust Hospital,Cemetery Rd,",",Gujranwala,District Gujranwala,Punjab
74.17427178,32.17578019,Model Town Cemetery,",",Model Town,Gujranwala,District Gujranwala,Punjab
74.17560317,32.17763754,Sheesh Mahal Marriage Hall,Jinnah Road,Industrial Estate,Gujranwala,District Gujranwala,Punjab
74.17509791,32.17822184,Gujranwala Food Industries Ltd. (JOJO Foods),Jinnah Rd,",",Gujranwala,District Gujranwala,Punjab
74.17477068,32.17816054,SUPER MILLAT FANS INDUSTRY,75 Jinnah Rd,",",Gujranwala,District Gujranwala,Punjab
74.17444881,32.17802319,Kohinoor Hi-Tech (PVT) Ltd,Jinnah Road,",",Gujranwala,District Gujranwala,Punjab
74.18041673,32.18702302,Paracha Center,",",",",Gujranwala,District Gujranwala,Punjab
74.18005228,32.1873218,State Life Insurance,Service Road Main G.T Road,",",Gujranwala,District Gujranwala,Punjab
74.17901125,32.18793952,Shelton Hotel,G.T. Road,",",Gujranwala,District Gujranwala,Punjab
74.17353954,32.1881319,WAPDA Grid Station,",",Barkat Colony,Gujranwala,District Gujranwala,Punjab
74.19841904,32.20485261,Aftkhar Market,Garden Town,",",Gujranwala,District Gujranwala,Punjab
74.20692567,32.21209615,Marketing Circle,Professor's colony,",",Gujranwala,District Gujranwala,Punjab
74.21071026,32.21073849,APPLE Furniture,Aroop Raod Maafi Wala Chowk,",",Gujranwala,District Gujranwala,Punjab
74.21444926,32.21806609,Veterinary Clinic,Aroop,",",Gujranwala,District Gujranwala,Punjab
74.21932016,32.21962786,Bus Station Aroop,Aroop Mor Road,",",Gujranwala,District Gujranwala,Punjab
74.21994913,32.22222376,Darbar Hazrat Khawaja Barkat Ali Chishti Sabri,Aroop Mor Rd,Aroop,Gujranwala,District Gujranwala,Punjab
74.22545101,32.21152086,Rahim Oil Mills,Aroop Mor,",",Gujranwala,District Gujranwala,Punjab
74.22655273,32.21235202,Basic Health Center,Sialkot Rd Aroop Mor,",",Gujranwala,District Gujranwala,Punjab
74.21554763,32.19643221,Cash and Carry,Sialkot Rd,",",Gujranwala,District Gujranwala,Punjab
74.21492871,32.19706717,GTDMC Mosque,Sialkot Rd,",",Gujranwala,District Gujranwala,Punjab
74.22251668,32.19801081,Cemetery,Waniawala Rd,",",Gujranwala,District Gujranwala,Punjab
74.22160003,32.20014148,Sardar Town,Sialkot Rd,",",Gujranwala,District Gujranwala,Punjab
74.23058745,32.20422508,Agriculture Adaptive Research Station,",",",",Gujranwala,District Gujranwala,Punjab
74.22838803,32.18562186,Bricks Kiln,Mukhtar Colony,",",Gujranwala,District Gujranwala,Punjab
74.22270175,32.17988532,Bricks Klin Industry,Sialkot Bypass,",",Gujranwala,District Gujranwala,Punjab
74.22534909,32.17859188,Mian Agro Engineering,Sialkot Chowk,",",Gujranwala,District Gujranwala,Punjab
74.22485556,32.17786996,Expert Technical Services,Sialkot Bypass,",",Gujranwala,District Gujranwala,Punjab
74.20609619,32.18305726,Post Office,slampura,",",Gujranwala,District Gujranwala,Punjab
74.20602713,32.18213276,Javed Surgical Steel Furniture,Gulzar colony Sialkot Road,",",Gujranwala,District Gujranwala,Punjab
74.20323428,32.17470522,Jamia Masjid Anwaar-i-Mustafa,Mohalla Kashmir Park,",",Gujranwala,District Gujranwala,Punjab
74.20295868,32.17320624,Infotech,Main Bazar Khokharki Near Jama Masjid Manier Wali,",",Gujranwala,District Gujranwala,Punjab
74.21114411,32.17547484,Khokhar Ke Graveyard,Aziz Colony,",",Gujranwala,District Gujranwala,Punjab
74.21297874,32.17467116,Nursar Graveyard,Fazal Town,",",Gujranwala,District Gujranwala,Punjab
74.20674294,32.16142783,Cricket Ground,Block-C,",",Gujranwala,District Gujranwala,Punjab
74.2060687,32.16192652,YouthAffairs Pakistan,201 Old Morgue Rd,",",Gujranwala,District Gujranwala,Punjab
74.20564223,32.16370836,Khwaja Ground,C Block Satellite Town,",",Gujranwala,District Gujranwala,Punjab
71.514266,33.99412,Bacha Khan International Airport,",",Tahkal ,Peshawar,",",","
73.2,34.333333,Mansehra Airport ,",",",",",",",",","
71.518943,33.98985,Airport Terminal Peshawar,",",",", Peshawar ,",",","
73.099691,33.608836,PIA Aerospace Maintenance,",",",",Rawalpindi,",",","
73.79915714,33.84799969,Rawalakot Airport,",",",",",",",",","
73.80473614,33.84978177,Chak Helicopter Pad ,",",",",Rawalakot ,",",","
74.404444,31.521389,Allama Iqbal International Airport,",",",",Lahore,",",Punjab
70.887802,31.91107,Dera Ismail Khan Airport,",",",",",",",",Khyber-Pakhtunkhwa
72.98757,31.363043,Faisalabad International Airport,Airport Rd,",",",",",",Punjab
71.71111107,29.34813994,Bahawalpur Airport,",",",",Bahawalpur,",",Punjab
71.41502292,30.19961827,Multan International Airport ,Rashid Road,",",Multan,",",Punjab
73.25,30,Bahawalnagar Airport,",",",",",",Bahawalnagar District,Punjab
70.28636,28.391911,Shaikh Zayed International Airport,Airport Rd,",",Rahim Yar Khan,",",Punjab
67.16816,24.900457,Jinnah International Airport,",",",",Karachi,",",Sindh
70.519458,32.972978,Bannu Airport,Miran Shah Rd,",",",",",",Khyber-Pakhtunkhwa
71.458333,32.424444,Chashma Airport,Chashma Rd,",",",",",",Punjab
74.086922,35.426815,Chilas Airport,",",",",Chilas,",",","
71.799722,35.886111,Chitral Airport,",",",",Chitral,",", Khyber-Pakhtunkhwa
64.401564,28.874271,Dalbandin Airport,",",",",",",",",Balochistan 
70.488335,29.961085,Dera Ghazi Khan Airport,",",",",",",",",Punjab
74.33224,35.91972,Gilgit Airport,",",",",",",",",","
74.07444,32.623056,Gujrat Airport,",",",",",",",",Punjab
62.329444,25.233056,Gwadar International Airport,",",",",",",",",Balochistan 
68.366346,25.318126,Hyderabad Airport,",",",",",",",",Sindh
73.100405,33.607891,Benazir Bhutto International Airport, ,Chaklala,Rawalpindi,",",","
72.851614,33.560714,New Benazir Bhutto International Airport,",",",",Rawalpindi/Islamaabd,",",","
68.459132,28.284297,Jacobabad Airport,",",PAF Base Shahbaz,Jacobabad,",",Sindh
61.804359,25.070173,Jiwani Airport,",",Jiwani Tehsil,",",",",Belutschistan
69.153475,27.199244,Kadanwari Airport,Kadanwari Rd,",",Kadanwari ,",",Sindh
66.639285,27.796969,Khuzdar Airport,",",",",Khuzdar,",",Balochistan
74.346332,31.494056,Walton Airport,",",",",Lahore,",",Punjab
73.632326,33.054335,Mangla Airport,",",",",Jhelum,",",Punjab
68.142778,27.335,Moenjodaro Airport,",",",",",",",",Sindh
73.505836,34.341389,Muzaffarabad Airport ,Chakothi Rd,",",Kashmir,",",","
68.39222,26.219723,Nawabshah Airport,"Airport Rd, Shaheed Benazir Abad",",",",",",",Sindh
64.586111,25.274722,Ormara Airport,Ormara Airport Rd,",",Ormara,",",Balochistan
64.134036,26.954051,Panjgur Airport,Airport Road,",",Panjgur,",",Belutschistan
70.071527,33.90237,Parachinar Airport,",",Kurram Valley,",",",",FATA
63.343191,25.290411,Pasni Airport,",",",",Pasni,",",Belutschistan
66.948782,30.249012,Quetta International Airport,",",",",Quetta,",",Belutschistan
74.363889,32.535556,Sialkot International Airport,",",",",",",Sialkot District,Punjab
68.87879759,26.96687331,Sawan Airport,",",",",",","Khairpur District,",Sindh
72.351387,34.813332,Saidu Sharif Airport,",",Kanju,",",",",Khyber Pakhtunkhwa
67.717222,26.473056,Sehwan Sharif Airport, ,",",",",Dadu District,Sindh
67.843102,29.574481,Sibi Airport,Airport Road,",",Sibi,",", Belutschistan
69.07765,25.686798,Sindhri/Mirpur Khas Airport,",",",",",",Sanghar District,Sindh
69.176917,28.645142,Sui Airport,",",",", Sui,",",Belutschistan
68.795655,27.723087,Sukkur Airport,",",",",Sukkur,",",Sindh
72.609301,33.981427,Tarbela Dam Airport,",",",", Haripur,",",Khyber Pakhtunkhwa
63.029522,25.987272,Turbat International Airport,",",",",Turbat,",",Belutschistan
69.46337,31.35586,Zhob Airport,",",Zhob Tehsil,",",",",Belutschistan
73.790278,32.077778,Chandhar Airbase,",",Hafizabad Tehsil,",",",",Punjab 
73.604806,32.878684,Gurha Salim Airport,",",",",Jhelum,",",Punjab
72.400833,33.868889,Minhas Airbase,",",Kamra,",",",",Punjab
67.115973,24.88391,Faisal Airbase,",",",",karachi,",",Sindh
74.17286362,32.1895143,Filezooby - A way to success Platform,Street#10Atta Muhammad Road,Mohalla Shaheenabad,Gujranwala,District Gujranwala,Punjab
