X,Y,Location,Road,Area,City,District,Province
73.092,33.709,Shell Pump Near Aab Para Market,Khayaban-e-Suharwardy,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0921,31.3971,Jamia Masjid Noorani,,,Faisalabad City,District Faisalabad,Punjab
73.0921,31.4265,Bilal Market,,,Faisalabad City,District Faisalabad,Punjab
73.0921,32.4492,Pind Mukko,,,Phalia,Gujrat,Punjab
73.0921,33.7338,HBL PV Headquarter,Constitution Avenue,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0923,30.9624,Chak 403,,,Sumundri,Faisalabad,Punjab
73.0923,31.4352,Jamia Chishtia Chowk,Millat Road,,Faisalabad City,District Faisalabad,Punjab
73.0923,32.2178,Chak 19 Janubi,,,Kotmomin,Sargodha,Punjab
73.0924,30.6624,Central Jail South East Corner,,,Sahiwal City,,Punjab
73.0924,31.3865,Iqra Hospital Main Raod Warispura,,,Faisalabad City,District Faisalabad,Punjab
73.0925,30.673,College Chowk,,,Sahiwal City,District Sahiwal,Punjab
