X,Y,Location,Road,Area,City,District,Province
73.0833,31.4268,Shalonia Resturant,,,Faisalabad City,District Faisalabad,Punjab
73.0833,33.5633,Park Veiw St 3,GT Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0833,33.724,The Bank of Punjab Blue Area Block,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.083371,34.009411,Jahangir,Karakoram Highway Road,,,,NWFP
73.0834,31.4412,Tangianwala Chowk  Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0834,33.2592,Bher Kalial,,,Tehsil Gujar Khan,District Rawalpindi,Punjab
73.0835,31.4225,Allama Iqbal Public library,,,Faisalabad City,District Faisalabad,Punjab
73.0835,31.4226,Askari Cmmercial Bank,,,Faisalabad City,District Faisalabad,Punjab
73.0836,30.2527,Chak 73 EB,,,Teshil Arifwala,District Pakpattan Sharif,Punjab
73.0836,31.457,Muslim Town1 Gate#2,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0836,33.7242,Askari Bank,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0837,31.3984,General Computrised Weigh Station Siddiqia Road,,,Faisalabad City,District Faisalabad,Punjab
73.0837,31.4223,Allama Iqbal Public Library,,,Faisalabad City,District Faisalabad,Punjab
73.0838,31.43,Sayyed Nazar Huassain Street Bilal Raod,,,Faisalabad City,District Faisalabad,Punjab
73.0838,31.4563,Muslim Town Gate 1,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0838,32.549,Daulatpur,,,Bhalwal,Sargodha,Punjab
73.0839,30.6526,Govt College of Technology,Kachi Pakki Road,,Sahiwal City,District Sahiwal,Punjab
73.0839,31.4185,Police Station Rail Bazar,,,Faisalabad City,District Faisalabad,Punjab
73.084,31.4327,Iqbal Stadium Faisalabad,,,Faisalabad City,District Faisalabad,Punjab
73.084,33.6592,Continental Hotel,Muree Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0841,31.4663,Shadman Town End,,,Faisalabad City,District Faisalabad,Punjab
73.0841,33.7245,Al-shifa Trust Hospital,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0843,33.6085,PAF Colony,,,Rawalpindi City,District Rawalpindi,Punjab
73.0843,33.705,Toyota Islamabad Suhrwardi Road,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0844,31.4189,Kaisri Gate Rail Bazar Chowk,,,Faisalabad City,District Faisalabad,Punjab
73.0844,31.4404,Jamia Masjid Pantherianwali Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0844,31.4549,Boys Hostel,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0844,33.0488,Hasola,,,Tehsil  Chakwal,District Chakwal,Punjab
73.0845,33.72,ST4 G 6/3,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0846,31.4217,Office Executive District Health Officer,,,Faisalabad City,District Faisalabad,Punjab
73.0846,31.4511,Bank Alfalah Jail Road Faisalabad,,,Faisalabad City,District Faisalabad,Punjab
73.0846,31.5403,Bridge M3,,,Faisalabad,District Faisalabad,Punjab
73.0846,33.7051,Suzuki Federal Motors,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0847,31.4339,Shokat Khanum Laboratory,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0847,31.458,Muslim Town 1 Sreet # 2,,,Faisalabad City,District Faisalabad,Punjab
73.0847,33.1166,Chechi Nur,,,Tehsil Gujar Khan,District Rawalpindi,Punjab
73.0848,31.4322,Little Angle School System,,,Faisalabad City,District Faisalabad,Punjab
73.0848,31.44,Chishti Sabri Dehi Bhalley  Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0848,31.9759,Toll Plaza Sial Mor,Lahore Sargodha Road,,Tehsil Kotmomin,Sargodha,Punjab
73.0848,33.7077,Hospital G 6/1,,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0848,33.7162,Holiday Inn,,,Islamamabad City,Disttirct Islamamabad,Punjab
